Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Adj Close,SPY_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Adj Close,VIX_Volume,SPY_5_MA_Close,SPY_20_MA_Close,SPY_Volume_5_MA,SPY_Volume_5_SD,SPY_Volume_Z_5,SPY_Volume_20_MA,SPY_Volume_20_SD,SPY_Volume_Z_20,SPY_Oscillator_5,SPY_Oscillator_20,SPY_Percent_Close_Change,SPY_Percent_Change:High_To_Previous_Close,SPY_Percent_Change:Low_To_Previous_Close,SPY_Percent_Close_Change_Label,SPY_Percent_Change:High_To_Previous_Close_Label,SPY_Percent_Change:Low_To_Previous_Close_Label
1993-01-29,43.96875,43.96875,43.75,43.9375,24.684099,1003200,12.49,13.16,12.42,12.42,12.42,0.0,,,,,,,,,,,,,,0.7062146892655368,0.7062146892655368,0.07062146892655367
1993-02-01,43.96875,44.25,43.96875,44.25,24.859673,480500,12.51,12.92,12.18,12.33,12.33,0.0,,,,,,,,,,,0.7062146892655368,0.7062146892655368,0.07062146892655367,0.21141649048625794,0.28188865398167723,-0.28188865398167723
1993-02-02,44.21875,44.375,44.125,44.34375,24.912331,201300,12.47,12.89,12.22,12.25,12.25,0.0,,,,,,,,,,,0.21141649048625794,0.28188865398167723,-0.28188865398167723,1.0460251046025104,1.1157601115760112,0.0697350069735007
1993-02-03,44.40625,44.84375,44.375,44.8125,25.175692,529400,11.98,12.34,11.79,12.12,12.12,0.0,,,,,,,,,,,1.0460251046025104,1.1157601115760112,0.0697350069735007,0.4166666666666667,0.625,-0.7638888888888888
1993-02-04,44.96875,45.09375,44.46875,45.0,25.281021,531500,11.86,12.84,11.69,12.29,12.29,0.0,44.46875,,549180.0,288346.76519773895,-0.06131506274355332,,,,1.1946591707659873,,0.4166666666666667,0.625,-0.7638888888888888,-0.06949270326615706,0.13898540653231412,-0.6254343293954135
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.263447,492100,12.56,13.45,12.49,12.9,12.9,0.0,44.675,,446960.0,139153.46923451094,0.32439004394440923,,,,0.657526580861786,,-0.06949270326615706,0.13898540653231412,-0.6254343293954135,0.0,0.34746351633078526,-0.13898540653231412
1993-02-08,44.96875,45.125,44.90625,44.96875,25.263447,596100,13.15,13.94,12.2,13.22,13.22,0.0,44.81875,,470080.0,154838.53525527805,0.8138800834833155,,,,0.3346813554594864,,0.0,0.34746351633078526,-0.13898540653231412,-0.6997900629811057,-0.34989503149055284,-0.9097270818754375
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.087883,122100,13.63,13.76,13.43,13.48,13.48,0.0,44.88125,,454240.0,189402.18583743955,-1.7536228451189562,,,,-0.5013229355243034,,-0.6997900629811057,-0.34989503149055284,-0.9097270818754375,0.1397624039133473,0.20964360587002098,-0.2795248078266946
1993-02-10,44.65625,44.75,44.53125,44.71875,25.12302,379600,13.58,14.26,13.0,13.43,13.43,0.0,44.8625,,424280.0,186364.46013121703,-0.2397452817374157,,,,-0.32042351629979865,,0.1397624039133473,0.20964360587002098,-0.2795248078266946,0.48678720445062584,0.9040333796940195,0.13908205841446453
1993-02-11,44.78125,45.125,44.78125,44.9375,25.245903,19500,13.05,13.65,12.63,12.69,12.69,0.0,44.85,,321880.0,244360.78245086706,-1.2374326066859713,,,,0.19509476031214842,,0.48678720445062584,0.9040333796940195,0.13908205841446453,-0.7708479327259986,-0.1401541695865452,-0.7708479327259986
1993-02-12,44.875,44.875,44.59375,44.59375,25.052786,42500,13.58,13.66,12.32,12.38,12.38,0.0,44.775,,231960.0,248746.39293867155,-0.7616592858362026,,,,-0.40480178671133127,,-0.7708479327259986,-0.1401541695865452,-0.7708479327259986,-2.5880661394680087,-0.28756290438533433,-2.7318475916606757
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.420771,374800,13.44,16.450001,13.35,15.76,15.76,0.0,44.475,,187700.0,177136.7127390592,1.0562463145379566,,,,-2.26250702641934,,-2.5880661394680087,-0.28756290438533433,-2.7318475916606757,-0.07194244604316546,0.14388489208633093,-0.4316546762589928
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.403194,210900,15.96,16.34,15.57,15.9,15.9,0.0,44.23125,,205460.0,173325.88669901557,0.03138596376804745,,,,-1.7945457114596643,,-0.07194244604316546,0.14388489208633093,-0.4316546762589928,-0.07199424046076314,1.1519078473722102,-1.4398848092152627
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.385641,378100,14.69,16.65,14.32,15.56,15.56,0.0,43.96875,,205160.0,172950.01590054852,0.9999420878888252,,,,-1.279317697228145,,-0.07199424046076314,1.1519078473722102,-1.4398848092152627,0.3586800573888092,0.3586800573888092,-0.1434720229555237
